last_name,first_name,Institution
Zhang,Meng,MPIA
Aird,James,University of Edinburgh
Anderson,Scott,University of Washington
Aranguré,Oskar,"Instituto de Astronomía, Universidad Nacional Autónoma de México"
Aydın,Uzay,Erciyes University
Baza-Medina,Raquel,UNAM-Instituto de Astronomia
Beane,Gus,Harvard University
Bernal,Santiago,"Instituto de Física y Astronomía, Universidad de Valparaíso"
Beyer,Alexa,University of Florida
Bird,Jon,Vanderbilt University
Bracamonte,Andrea,CUNY 
Brink,Jaco,Leibniz Institute for Astrophysics Potsdam (AIP)
Burchett,Joe,New Mexico State University
Canal,Mar,FAU
Carigi,Leticia,"Instituto de Astronomia, UNAM"
Castañeda Carlos,Corina,Instituto de Astronomía - Universidad Nacional Autónoma de México
Chandra,Vedant,Harvard University
Chen,Bingqiu,Yunnan University
Davis,Meg,University of Connecticut
Deacon,Niall,MPIA
Eracleous,Mike,Penn State 
Espinoza Rojas,Francisca,HITS
Freund,Sebastian,Max Planck Institute for Extraterrestrial Physics
García,Pablo,NAOC
Gilbert,Karrie,Space Telescope Science Institute
Glover,Simon,University of Heidelberg
Gonzalez,Sergio,Universidad Nacional Autonoma de Mexico
Grebel,Eva,Heidelberg University
Green,Gregory M.,MPIA
Grier,Kate,University of Wisconsin-Madison 
Hegedus,Viola,ELTE Eötvös Loránd Tudományegyetem
Hernández,Itzarel,"Instituto de Astronomía, Universidad Nacional Autónoma de México"
Hilder,Tom,Monash University
Hiremath,Pranavi,University of Edinburgh 
Jin,Yifei,CfA/Harvard
Johnston,Evelyn,"Universidad Diego Portales, Chile"
Jones,Amy,STScI
Li,Jiadong,MPIA
López-Valdiivia,Ricardo,"Instituto de Astronomía, UNAM Ensenada"
Maitra,Chandreyee,Max Planck Institute for Extraterrestrial Physics
Mariappan,Vivek,"ARI, University of Heidelberg"
Martínez Aldama,Mary Loli,Universidad de Concepción
Mata-Sánchez,Aurora,Universidad Nacional Autonoma de Mexico
Mejia,Alfredo,Universidad de Chile
Morrison,Sean,University of Illinois Urbana-Champaign
Nandra,Paul,Max-Planck-Institute for extraterrestrial Physics
Nepal,Samir,Leibniz Institute for Astrophysics Potsdam (AIP)
Ni,Qingling,MPE
Nielsen Brandt,William,Penn State University
Pap,Viktoria,Eötvös Loránd University
Patil,Aarya,Max Planck Institute for Astronomy
Peng,Ziming,The Chinese University of Hong Kong
Perdomo García,Andrea,MPIA
Pereyra,Margarita,UNAM
Pinsonneault,Marc,"The Ohio State University, Dept. of Astronomy"
Pérez Paolino,Facundo,California Institute of Technology
Qiu,Dan,NAOC
Rodríguez,Vania,"Universidad de Valparaíso, Chile"
Román-Zúñiga,Carlos,"Instituto de Astronomía UNAM, Ensenada"
Roster,William,Max Planck for Extraterrestrial Physics
Sabin,Laurence,"Instituto de Astronomia, campus Ensenada, Universidad Nacional Autonoma de Mexico"
Sanabria,Bella,Instituto de Astronomía - Universidad Nacional Autónoma de México
Sasi,Saroon,"Universidad Andres Bello, Chile"
Schochet,Meir,University of Florida
Serrano,Daniel,Universidad Nacional Autónoma de México
Singh,Amrita,Uinversidad de Chile
Storm,Nick,MPIA
Stringfellow,Guy,University of Colorado Boulder
Sánchez-Gallego,José,University of Washington
Tayar,Jamie,University of Florida
Telford,Grace,Carnegie/Princeton
Tian,Hao,NAOC
Troup,Nick,Salisbury University
Wu,Qiaoya,"University of Illinois, Urbana-Champaign"
Xing,Qianfan,"National Astronomical Observatories, Chinese Academy of Sciences"
Yun Choi,Jeong,HITS
Zhang,Jichen,The Chinese University of Hong Kong
Zhu,Peixin,Center for Astrophysics
